Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7f785f31c7f0>, 'cache_2': <cache.Cache object at 0x7f785f31cf70>, 'cache_1': <cache.Cache object at 0x7f785f31e230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_column_wise_copy_traces.out
Begin simulation!
0:	Reading 0x7ffde0c167d8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

1:	Writing 0x7ffde0c167d8
	hit_list: {'cache_1': True}	time: 1

2:	Writing 0x7ffde0c167d0
	hit_list: {'cache_1': True}	time: 1

3:	Writing 0x7ffde0c167c8
	hit_list: {'cache_1': False}	time: 1

4:	Writing 0x7ffde0c167c0
	hit_list: {'cache_1': True}	time: 1

5:	Writing 0x7ffde0c167b8
	hit_list: {'cache_1': False}	time: 1

6:	Writing 0x7ffde0c16798
	hit_list: {'cache_1': False}	time: 1

7:	Writing 0x7ffde0c16790
	hit_list: {'cache_1': True}	time: 1

8:	Reading 0x7f979b2963e8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

9:	Writing 0x7ffde0c167a8
	hit_list: {'cache_1': False}	time: 1

10:	Reading 0x7ffde0c16798
	hit_list: {'cache_1': True}	time: 1

11:	Reading 0x7ffde0c16790
	hit_list: {'cache_1': True}	time: 1

12:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': False}	time: 1

13:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

14:	Writing 0x7ffde0c16778
	hit_list: {'cache_1': False}	time: 1

15:	Reading 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

16:	Reading 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

17:	Reading 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

18:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

19:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

