Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7eff1b6407f0>, 'cache_2': <cache.Cache object at 0x7eff1b640f70>, 'cache_1': <cache.Cache object at 0x7eff1b642230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_scatter_traces.out
Begin simulation!
0:	Reading 0x7ffc05b6b2a8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

1:	Writing 0x7ffc05b6b2a8
	hit_list: {'cache_1': True}	time: 1

2:	Writing 0x7ffc05b6b2a0
	hit_list: {'cache_1': True}	time: 1

3:	Writing 0x7ffc05b6b298
	hit_list: {'cache_1': False}	time: 1

4:	Writing 0x7ffc05b6b290
	hit_list: {'cache_1': True}	time: 1

5:	Writing 0x7ffc05b6b288
	hit_list: {'cache_1': False}	time: 1

6:	Writing 0x7ffc05b6b268
	hit_list: {'cache_1': False}	time: 1

7:	Writing 0x7ffc05b6b260
	hit_list: {'cache_1': True}	time: 1

8:	Reading 0x7f27145643e8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

9:	Writing 0x7ffc05b6b278
	hit_list: {'cache_1': False}	time: 1

10:	Reading 0x7ffc05b6b268
	hit_list: {'cache_1': True}	time: 1

11:	Reading 0x7ffc05b6b260
	hit_list: {'cache_1': True}	time: 1

12:	Writing 0x7ffc05b6b258
	hit_list: {'cache_1': False}	time: 1

13:	Writing 0x7ffc05b6b250
	hit_list: {'cache_1': True}	time: 1

14:	Writing 0x7ffc05b6b248
	hit_list: {'cache_1': False}	time: 1

15:	Reading 0x7ffc05b6b248
	hit_list: {'cache_1': True}	time: 1

16:	Reading 0x7ffc05b6b250
	hit_list: {'cache_1': True}	time: 1

17:	Reading 0x7ffc05b6b258
	hit_list: {'cache_1': True}	time: 1

18:	Writing 0x7ffc05b6b258
	hit_list: {'cache_1': True}	time: 1

19:	Writing 0x7ffc05b6b250
