
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012997                       # Number of seconds simulated (Second)
simTicks                                  12997441500                       # Number of ticks simulated (Tick)
finalTick                                 14046815000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    119.04                       # Real time elapsed on the host (Second)
hostTickRate                                109189370                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800448                       # Number of bytes of host memory used (Byte)
simInsts                                     27246366                       # Number of instructions simulated (Count)
simOps                                       41958143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   228892                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     352483                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         25994883                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50456576                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       10                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       48046831                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    868                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11260706                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14762068                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25922230                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.853499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.570890                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6532918     25.20%     25.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5090701     19.64%     44.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6199131     23.91%     68.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4146872     16.00%     84.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2404961      9.28%     94.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    916702      3.54%     97.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    520705      2.01%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     92252      0.36%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     17988      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25922230                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
