
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013342                       # Number of seconds simulated (Second)
simTicks                                  13342031500                       # Number of ticks simulated (Tick)
finalTick                                 14424667000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    162.30                       # Real time elapsed on the host (Second)
hostTickRate                                 82206327                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800884                       # Number of bytes of host memory used (Byte)
simInsts                                     27246366                       # Number of instructions simulated (Count)
simOps                                       41958143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   167877                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     258523                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         26684063                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        82588384                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       10                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       67059609                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16801                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             43392514                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          77968195                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            26611647                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.519935                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.243828                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8862487     33.30%     33.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1384738      5.20%     38.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3084532     11.59%     50.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3691796     13.87%     63.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3792834     14.25%     78.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2861212     10.75%     88.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1907949      7.17%     96.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    703463      2.64%     98.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    322636      1.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              26611647                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
