kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
convolution.1.sm_52.ptx 156 : 3136 226128 0 0 0 3136 112 0 0 
convolution.1.sm_52.ptx 155 : 3136 35000 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 154 : 3136 34692 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 153 : 3136 25536 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 152 : 3136 37744 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 151 : 3136 25648 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 150 : 3136 124908 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 149 : 3136 159348 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 148 : 3136 23520 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 147 : 3136 108332 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 146 : 3136 138376 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 145 : 3136 23436 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 144 : 3136 110628 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 143 : 3136 137396 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 142 : 3136 23268 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 141 : 3136 110124 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 140 : 3136 143556 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 139 : 3136 23156 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 138 : 3136 105952 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 137 : 3136 129472 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 136 : 3136 23324 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 135 : 3136 98420 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 134 : 3136 123340 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 81 : 3136 97692 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 80 : 3136 124292 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 79 : 3136 22764 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 78 : 3136 498708 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 77 : 3136 97748 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 76 : 3136 24276 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 74 : 4096 6408 0 0 0 0 0 0 112 
convolution.1.sm_52.ptx 73 : 4096 30560 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 72 : 4096 31552 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 71 : 4096 30176 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 70 : 4096 29536 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 69 : 4096 29440 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 68 : 4096 29152 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 67 : 4096 29024 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 57 : 3600 913548 0 0 0 3600 120 0 0 
convolution.1.sm_52.ptx 56 : 3600 43360 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 66 : 4096 25856 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 55 : 3600 43476 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 65 : 4096 155552 0 128 128 0 0 0 0 
convolution.1.sm_52.ptx 54 : 3600 43680 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 64 : 4096 44800 0 0 0 0 0 0 0 
