kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrix_mul.1.sm_52.ptx 270 : 4096 24576 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 267 : 4096 23712 0 0 0 256 128 0 0 
matrix_mul.1.sm_52.ptx 266 : 4096 41952 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 265 : 4096 44032 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 264 : 4096 32384 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 263 : 4096 49184 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 261 : 4096 0 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 260 : 4096 30656 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 259 : 4096 30336 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 258 : 4096 29856 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 255 : 16384 78496 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 254 : 16384 123488 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 253 : 16384 170176 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 252 : 16384 169632 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 251 : 16384 171552 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 250 : 16384 98976 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 191 : 16384 68704 0 512 512 0 0 0 0 
matrix_mul.1.sm_52.ptx 188 : 16384 2704512 0 0 0 1024 512 0 0 
matrix_mul.1.sm_52.ptx 187 : 16384 176032 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 186 : 16384 182976 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 184 : 16384 0 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 183 : 16384 129120 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 182 : 16384 107808 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 181 : 16384 122528 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 178 : 4096 29088 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 177 : 4096 37152 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 176 : 4096 38912 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 175 : 4096 55328 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 174 : 4096 38976 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 173 : 4096 49824 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 172 : 4096 48608 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 171 : 4096 45824 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 170 : 4096 46528 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 169 : 4096 42976 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 168 : 4096 30464 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 154 : 4096 31200 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 153 : 4096 27008 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 152 : 4096 42720 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 249 : 16384 182688 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 151 : 4096 25216 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 248 : 16384 512480 0 512 512 0 0 0 0 
matrix_mul.1.sm_52.ptx 197 : 16384 3958976 0 0 0 1024 512 0 0 
matrix_mul.1.sm_52.ptx 150 : 4096 30592 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 247 : 16384 511264 0 512 512 0 0 0 0 
matrix_mul.1.sm_52.ptx 196 : 16384 165888 0 0 0 0 0 0 0 
